,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
专案组,7.0,6.0,426.0,0.0,0.0,11.0,16.0,38.0,0.0,0.0
被害人,7.0,15.0,350.0,0.0,1.0,0.0,10.0,0.0,2.0,0.0
一审,55.0,26.0,330.0,0.0,5.0,7.0,64.0,0.0,0.0,9.0
受害人,31.0,8.0,362.0,0.0,21.0,3.0,10.0,1.0,2.0,1.0
公安机关,90.0,15.0,384.0,0.0,10.0,1.0,234.0,14.0,2.0,2.0
法庭,80.0,47.0,479.0,3.0,63.0,25.0,122.0,8.0,31.0,24.0
同学,42.0,43.0,1110.0,36.0,1938.0,19.0,50.0,15.0,84.0,170.0
女友,5.0,13.0,621.0,33.0,108.0,16.0,7.0,39.0,42.0,222.0
被告人,15.0,13.0,393.0,0.0,0.0,5.0,19.0,0.0,0.0,1.0
老板,133.0,226.0,1030.0,45.0,264.0,48.0,26.0,472.0,116.0,487.0
中年,20.0,27.0,430.0,10.0,41.0,12.0,4.0,1.0,8.0,90.0
老家,20.0,15.0,319.0,0.0,35.0,6.0,18.0,9.0,26.0,23.0
车辆,15.0,51.0,536.0,3.0,41.0,55.0,192.0,4.0,131.0,21.0
歹徒,4.0,0.0,436.0,6.0,27.0,2.0,11.0,0.0,9.0,10.0
团伙,29.0,9.0,387.0,0.0,5.0,5.0,39.0,0.0,0.0,13.0
乘客,13.0,15.0,609.0,1.0,53.0,158.0,81.0,2.0,7.0,8.0
尸体,3.0,2.0,491.0,0.0,20.0,241.0,29.0,0.0,59.0,36.0
事故,19.0,332.0,601.0,2.0,71.0,396.0,613.0,8.0,10.0,36.0
警车,2.0,1.0,280.0,0.0,21.0,7.0,23.0,2.0,8.0,9.0
男友,13.0,11.0,527.0,139.0,69.0,1.0,8.0,6.0,8.0,239.0
同事,58.0,88.0,523.0,35.0,182.0,229.0,36.0,6.0,22.0,113.0
老师,55.0,206.0,1406.0,51.0,2035.0,57.0,47.0,23.0,65.0,489.0
被告,121.0,35.0,613.0,1.0,23.0,13.0,459.0,1.0,6.0,36.0
小偷,4.0,4.0,384.0,4.0,13.0,3.0,2.0,0.0,7.0,12.0
伤者,0.0,24.0,270.0,0.0,9.0,4.0,54.0,1.0,1.0,6.0
病情,2.0,2.0,297.0,1.0,14.0,46.0,27.0,5.0,3.0,14.0
妇女,6.0,10.0,492.0,22.0,93.0,82.0,81.0,4.0,19.0,62.0
法官,34.0,34.0,436.0,1.0,55.0,14.0,455.0,1.0,5.0,16.0
出租车,9.0,21.0,331.0,5.0,85.0,13.0,16.0,1.0,1.0,23.0
医疗费,1.0,2.0,197.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0
帖子,28.0,41.0,372.0,18.0,14.0,25.0,6.0,3.0,80.0,14.0
房间,19.0,122.0,467.0,18.0,203.0,90.0,36.0,24.0,112.0,84.0
病房,0.0,7.0,251.0,0.0,9.0,9.0,57.0,2.0,1.0,23.0
嫌犯,4.0,0.0,235.0,0.0,1.0,5.0,42.0,0.0,5.0,4.0
货车,1.0,9.0,247.0,8.0,1.0,10.0,14.0,0.0,5.0,6.0
血迹,0.0,1.0,180.0,0.0,1.0,9.0,5.0,3.0,5.0,4.0
面包车,3.0,2.0,224.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
工地,5.0,147.0,375.0,0.0,13.0,24.0,34.0,0.0,8.0,8.0
群众,26.0,187.0,526.0,16.0,14.0,20.0,843.0,6.0,43.0,236.0
法医,0.0,1.0,154.0,0.0,7.0,32.0,5.0,0.0,0.0,0.0
纠纷,102.0,251.0,363.0,1.0,33.0,3.0,105.0,11.0,33.0,36.0
律师,293.0,306.0,590.0,7.0,358.0,34.0,634.0,23.0,18.0,93.0
公交车,3.0,35.0,371.0,3.0,64.0,3.0,10.0,0.0,4.0,5.0
男孩,5.0,3.0,402.0,39.0,110.0,78.0,2.0,20.0,25.0,82.0
车祸,2.0,1.0,279.0,2.0,39.0,21.0,13.0,9.0,6.0,32.0
宿舍,8.0,51.0,428.0,2.0,367.0,15.0,46.0,1.0,6.0,22.0
弟弟,9.0,22.0,372.0,4.0,38.0,16.0,16.0,23.0,30.0,117.0
夫妻,18.0,80.0,403.0,12.0,129.0,29.0,26.0,14.0,33.0,194.0
财物,5.0,17.0,220.0,0.0,9.0,3.0,68.0,0.0,5.0,4.0
妈妈,8.0,51.0,556.0,97.0,421.0,178.0,12.0,42.0,42.0,327.0
夫妻俩,10.0,15.0,186.0,2.0,13.0,4.0,7.0,0.0,0.0,6.0
一人,47.0,66.0,449.0,11.0,115.0,46.0,75.0,467.0,85.0,118.0
网吧,5.0,2.0,267.0,1.0,21.0,18.0,19.0,0.0,129.0,3.0
生意,146.0,139.0,395.0,29.0,287.0,18.0,19.0,60.0,35.0,79.0
路段,5.0,21.0,190.0,1.0,5.0,7.0,27.0,0.0,3.0,3.0
病床,2.0,4.0,171.0,1.0,4.0,4.0,12.0,4.0,3.0,9.0
生命,31.0,90.0,541.0,36.0,163.0,1555.0,161.0,25.0,266.0,297.0
水果刀,0.0,0.0,154.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
小孩,6.0,68.0,407.0,30.0,245.0,37.0,24.0,17.0,28.0,195.0
青年,46.0,51.0,571.0,74.0,239.0,42.0,196.0,53.0,45.0,534.0
菜刀,0.0,3.0,193.0,1.0,10.0,0.0,5.0,0.0,2.0,6.0
夫妇,120.0,68.0,451.0,51.0,204.0,128.0,292.0,10.0,6.0,125.0
凶手,7.0,0.0,240.0,0.0,2.0,13.0,12.0,0.0,17.0,51.0
车主,12.0,13.0,221.0,1.0,4.0,4.0,8.0,0.0,1.0,0.0
公安,13.0,24.0,206.0,1.0,2.0,4.0,209.0,6.0,2.0,19.0
伤口,2.0,4.0,218.0,0.0,9.0,64.0,8.0,21.0,11.0,20.0
身体,26.0,38.0,621.0,267.0,210.0,779.0,253.0,516.0,104.0,283.0
亲戚,24.0,50.0,245.0,2.0,113.0,32.0,4.0,5.0,8.0,21.0
班主任,1.0,6.0,228.0,0.0,42.0,0.0,4.0,0.0,0.0,5.0
线索,34.0,35.0,318.0,18.0,23.0,144.0,73.0,12.0,80.0,141.0
该案,23.0,8.0,155.0,0.0,9.0,1.0,19.0,0.0,1.0,1.0
此事,29.0,57.0,245.0,1.0,26.0,20.0,39.0,31.0,20.0,48.0
工资,179.0,227.0,519.0,6.0,365.0,10.0,257.0,110.0,111.0,26.0
同伙,3.0,2.0,152.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0
救护车,0.0,5.0,197.0,0.0,12.0,11.0,25.0,3.0,0.0,4.0
厕所,6.0,33.0,306.0,2.0,59.0,31.0,18.0,1.0,6.0,22.0
老乡,19.0,7.0,187.0,4.0,24.0,3.0,2.0,13.0,1.0,19.0
二人,21.0,8.0,408.0,25.0,25.0,34.0,35.0,105.0,76.0,378.0
城管,1.0,61.0,392.0,4.0,0.0,1.0,11.0,1.0,0.0,2.0
事件,392.0,554.0,881.0,35.0,546.0,953.0,880.0,175.0,333.0,455.0
窗户,8.0,78.0,224.0,6.0,37.0,44.0,10.0,3.0,12.0,11.0
重伤,5.0,14.0,204.0,0.0,9.0,27.0,18.0,33.0,12.0,24.0
车子,1.0,9.0,213.0,5.0,45.0,8.0,11.0,3.0,10.0,14.0
小学,7.0,106.0,309.0,4.0,324.0,16.0,41.0,4.0,11.0,57.0
检察机关,15.0,19.0,159.0,0.0,1.0,0.0,80.0,2.0,1.0,2.0
脖子,4.0,3.0,263.0,114.0,19.0,75.0,2.0,27.0,12.0,38.0
哥哥,11.0,9.0,317.0,3.0,63.0,10.0,23.0,15.0,39.0,164.0
妹妹,10.0,12.0,321.0,29.0,50.0,20.0,18.0,4.0,35.0,66.0
衣服,29.0,35.0,583.0,1339.0,243.0,81.0,23.0,56.0,125.0,311.0
原告,113.0,35.0,223.0,1.0,4.0,3.0,12.0,0.0,2.0,20.0
马路,4.0,48.0,212.0,16.0,37.0,18.0,5.0,2.0,5.0,16.0
当事人,57.0,99.0,275.0,3.0,79.0,9.0,196.0,31.0,5.0,50.0
罚金,28.0,10.0,164.0,0.0,11.0,1.0,35.0,2.0,2.0,1.0
小伙,3.0,7.0,196.0,3.0,13.0,2.0,0.0,7.0,1.0,15.0
车门,4.0,0.0,161.0,1.0,10.0,8.0,1.0,0.0,1.0,6.0
患者,2.0,5.0,456.0,12.0,66.0,598.0,174.0,0.0,13.0,28.0
工人,19.0,200.0,408.0,10.0,135.0,81.0,71.0,4.0,17.0,99.0
工友,1.0,9.0,130.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
老汉,1.0,1.0,204.0,0.0,2.0,13.0,2.0,0.0,1.0,0.0
好心人,0.0,0.0,129.0,0.0,4.0,6.0,1.0,0.0,2.0,1.0
老伴,0.0,20.0,190.0,0.0,4.0,4.0,1.0,0.0,3.0,8.0
女生,1.0,1.0,579.0,455.0,306.0,9.0,9.0,4.0,56.0,217.0
抢劫罪,0.0,1.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一家人,5.0,34.0,197.0,5.0,54.0,18.0,13.0,5.0,6.0,50.0
号码,89.0,70.0,307.0,16.0,147.0,13.0,46.0,40.0,28.0,21.0
女童,0.0,5.0,217.0,4.0,7.0,9.0,36.0,0.0,5.0,9.0
本报讯,35.0,39.0,161.0,0.0,2.0,12.0,11.0,4.0,0.0,38.0
证据,94.0,77.0,398.0,3.0,80.0,772.0,205.0,21.0,27.0,38.0
彩票,9.0,9.0,337.0,1.0,44.0,4.0,153.0,2.0,18.0,5.0
宾馆,5.0,37.0,217.0,1.0,26.0,6.0,9.0,12.0,4.0,28.0
病人,5.0,13.0,306.0,2.0,66.0,148.0,73.0,15.0,6.0,44.0
驾驶员,6.0,0.0,199.0,0.0,14.0,43.0,7.0,0.0,29.0,0.0
村委会,0.0,33.0,199.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0
车牌,0.0,0.0,138.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0
死刑,13.0,2.0,180.0,0.0,6.0,9.0,39.0,6.0,3.0,5.0
服务员,2.0,7.0,212.0,5.0,71.0,5.0,0.0,7.0,0.0,42.0
录像,30.0,11.0,282.0,3.0,37.0,172.0,27.0,100.0,76.0,25.0
大队,0.0,7.0,159.0,0.0,0.0,5.0,22.0,9.0,1.0,9.0
家长,16.0,79.0,820.0,8.0,3406.0,23.0,57.0,3.0,72.0,91.0
犯罪事实,7.0,0.0,104.0,0.0,0.0,0.0,28.0,2.0,0.0,1.0
案情,13.0,9.0,143.0,0.0,2.0,1.0,107.0,5.0,1.0,3.0
嫌疑,46.0,33.0,173.0,32.0,16.0,6.0,30.0,17.0,13.0,31.0
伤势,0.0,1.0,193.0,0.0,1.0,5.0,26.0,287.0,2.0,11.0
房门,4.0,91.0,145.0,0.0,5.0,5.0,2.0,3.0,4.0,6.0
刑警,4.0,2.0,116.0,0.0,1.0,0.0,9.0,1.0,3.0,12.0
大门,25.0,76.0,240.0,13.0,115.0,29.0,32.0,29.0,56.0,24.0
劫匪,0.0,0.0,138.0,0.0,1.0,0.0,0.0,0.0,6.0,16.0
事主,25.0,16.0,162.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0
车站,4.0,51.0,167.0,0.0,31.0,3.0,48.0,3.0,10.0,9.0
老太,3.0,2.0,138.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0
口角,0.0,2.0,108.0,1.0,8.0,0.0,3.0,6.0,1.0,1.0
教师,37.0,65.0,439.0,14.0,870.0,60.0,226.0,6.0,7.0,55.0
机会,1141.0,834.0,306.0,203.0,2485.0,393.0,302.0,2744.0,885.0,1069.0
赃款,15.0,19.0,125.0,0.0,2.0,0.0,26.0,0.0,1.0,2.0
亲属,11.0,30.0,162.0,0.0,116.0,32.0,39.0,3.0,3.0,5.0
初中,4.0,17.0,193.0,6.0,282.0,4.0,40.0,4.0,6.0,31.0
卧室,8.0,82.0,187.0,7.0,43.0,14.0,3.0,6.0,3.0,5.0
急救车,0.0,2.0,86.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
医护人员,1.0,7.0,141.0,1.0,8.0,10.0,34.0,2.0,1.0,1.0
护士,1.0,2.0,237.0,7.0,197.0,36.0,15.0,1.0,6.0,34.0
小伙子,2.0,15.0,215.0,4.0,43.0,7.0,0.0,37.0,13.0,18.0
本案,26.0,10.0,117.0,0.0,3.0,0.0,28.0,0.0,1.0,1.0
校方,7.0,0.0,235.0,1.0,386.0,5.0,12.0,1.0,0.0,3.0
男生,0.0,2.0,300.0,62.0,177.0,3.0,6.0,0.0,39.0,112.0
姐姐,5.0,6.0,219.0,48.0,54.0,12.0,4.0,20.0,38.0,84.0
医药费,0.0,4.0,85.0,0.0,7.0,0.0,1.0,0.0,1.0,1.0
该院,8.0,14.0,109.0,0.0,5.0,9.0,4.0,0.0,0.0,3.0
血泊,0.0,0.0,79.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
县城,4.0,53.0,149.0,0.0,8.0,7.0,13.0,0.0,5.0,26.0
少年,8.0,2.0,307.0,10.0,66.0,33.0,29.0,20.0,88.0,153.0
出租屋,3.0,7.0,104.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0
女婴,0.0,0.0,144.0,0.0,5.0,30.0,12.0,2.0,0.0,1.0
阳台,3.0,180.0,185.0,4.0,12.0,21.0,1.0,0.0,2.0,8.0
失主,4.0,2.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鲜血,1.0,1.0,116.0,0.0,1.0,8.0,2.0,6.0,31.0,17.0
奶奶,3.0,14.0,183.0,6.0,27.0,2.0,8.0,4.0,12.0,18.0
精神病,0.0,3.0,155.0,0.0,13.0,11.0,2.0,0.0,51.0,34.0
绑匪,0.0,0.0,179.0,0.0,3.0,8.0,4.0,0.0,1.0,15.0
受害者,50.0,14.0,163.0,4.0,48.0,41.0,20.0,8.0,7.0,23.0
笔录,2.0,4.0,123.0,0.0,2.0,2.0,68.0,1.0,1.0,0.0
过错,45.0,5.0,131.0,1.0,4.0,2.0,9.0,2.0,1.0,5.0
超市,46.0,88.0,388.0,50.0,229.0,59.0,65.0,8.0,12.0,31.0
孕妇,0.0,4.0,189.0,3.0,25.0,34.0,0.0,0.0,0.0,22.0
症状,2.0,15.0,199.0,8.0,24.0,118.0,49.0,24.0,17.0,11.0
该村,1.0,9.0,99.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0
大学生,65.0,58.0,386.0,23.0,667.0,34.0,329.0,2.0,28.0,232.0
爸爸,6.0,12.0,327.0,16.0,156.0,10.0,13.0,27.0,17.0,341.0
女士,122.0,216.0,400.0,187.0,298.0,42.0,21.0,13.0,17.0,65.0
疑犯,3.0,0.0,98.0,0.0,0.0,4.0,11.0,0.0,2.0,9.0
腹部,1.0,5.0,161.0,49.0,3.0,90.0,9.0,8.0,4.0,3.0
车牌号,0.0,0.0,72.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
玻璃,25.0,74.0,199.0,33.0,36.0,123.0,13.0,3.0,26.0,21.0
说法,228.0,345.0,456.0,43.0,211.0,311.0,184.0,174.0,89.0,352.0
电影,51.0,81.0,113.0,302.0,333.0,338.0,99.0,59.0,891.0,23766.0
火车,13.0,27.0,223.0,12.0,160.0,47.0,16.0,8.0,25.0,101.0
公交,11.0,101.0,193.0,5.0,40.0,6.0,3.0,2.0,18.0,0.0
婴儿,3.0,4.0,258.0,22.0,56.0,167.0,38.0,1.0,11.0,38.0
行人,18.0,29.0,145.0,11.0,36.0,34.0,17.0,2.0,18.0,27.0
地点,42.0,203.0,362.0,110.0,246.0,423.0,142.0,61.0,256.0,90.0
自行车,9.0,32.0,199.0,45.0,129.0,137.0,2.0,17.0,1.0,48.0
肚子,7.0,13.0,170.0,20.0,42.0,48.0,8.0,23.0,11.0,42.0
交通事故,0.0,2.0,114.0,1.0,12.0,7.0,115.0,1.0,0.0,6.0
物品,51.0,35.0,303.0,85.0,146.0,90.0,95.0,7.0,746.0,20.0
收费站,0.0,5.0,110.0,0.0,7.0,0.0,23.0,0.0,0.0,4.0
车头,2.0,0.0,85.0,0.0,2.0,0.0,2.0,4.0,7.0,1.0
师傅,17.0,4.0,256.0,6.0,16.0,1.0,2.0,2.0,32.0,121.0
钱财,11.0,13.0,104.0,0.0,22.0,2.0,8.0,1.0,7.0,7.0
家门,3.0,5.0,99.0,6.0,30.0,4.0,4.0,4.0,10.0,13.0
住处,5.0,6.0,109.0,0.0,24.0,8.0,46.0,2.0,4.0,4.0
院方,0.0,1.0,120.0,0.0,15.0,4.0,39.0,0.0,1.0,1.0
遗书,0.0,4.0,113.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0
楼道,1.0,13.0,93.0,1.0,6.0,1.0,2.0,1.0,0.0,4.0
病历,0.0,0.0,107.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
一事,50.0,87.0,188.0,2.0,33.0,20.0,114.0,35.0,21.0,94.0
双手,6.0,12.0,212.0,17.0,37.0,36.0,12.0,251.0,64.0,61.0
老婆,8.0,30.0,272.0,19.0,80.0,4.0,6.0,27.0,49.0,330.0
死因,1.0,1.0,95.0,0.0,4.0,33.0,11.0,1.0,3.0,4.0
婆婆,23.0,7.0,138.0,6.0,6.0,2.0,6.0,1.0,3.0,16.0
叔叔,2.0,7.0,140.0,0.0,17.0,5.0,1.0,9.0,6.0,25.0
同村,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
隔壁,8.0,21.0,108.0,2.0,16.0,1.0,6.0,3.0,5.0,13.0
眼睛,33.0,33.0,297.0,86.0,108.0,385.0,22.0,61.0,68.0,223.0
前妻,2.0,0.0,131.0,2.0,4.0,1.0,2.0,2.0,2.0,18.0
男童,0.0,0.0,92.0,1.0,1.0,6.0,18.0,0.0,1.0,0.0
诈骗罪,13.0,10.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
民工,2.0,16.0,132.0,0.0,2.0,0.0,16.0,0.0,1.0,24.0
三人,20.0,31.0,270.0,6.0,20.0,20.0,62.0,206.0,61.0,135.0
毒品,4.0,1.0,197.0,2.0,23.0,14.0,45.0,5.0,7.0,20.0
右手,7.0,17.0,141.0,12.0,18.0,19.0,4.0,67.0,17.0,13.0
车厢,0.0,0.0,105.0,3.0,31.0,6.0,7.0,2.0,13.0,2.0
全身,20.0,17.0,248.0,266.0,43.0,105.0,25.0,32.0,56.0,66.0
亲友,6.0,20.0,132.0,6.0,56.0,8.0,26.0,1.0,15.0,23.0
主人,48.0,58.0,259.0,13.0,147.0,181.0,19.0,23.0,63.0,32.0
彩民,0.0,0.0,117.0,0.0,1.0,0.0,5.0,0.0,6.0,2.0
事实,187.0,265.0,388.0,39.0,215.0,215.0,210.0,256.0,115.0,164.0
出租房,0.0,21.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
厨房,5.0,102.0,179.0,10.0,146.0,27.0,8.0,0.0,9.0,25.0
消防员,0.0,13.0,113.0,2.0,13.0,6.0,19.0,0.0,4.0,8.0
消防队员,1.0,6.0,90.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
顾客,84.0,55.0,261.0,293.0,112.0,26.0,3.0,3.0,54.0,11.0
教室,1.0,6.0,176.0,6.0,153.0,3.0,13.0,0.0,7.0,10.0
残疾,1.0,21.0,126.0,2.0,46.0,10.0,29.0,2.0,6.0,14.0
警力,3.0,1.0,84.0,0.0,10.0,0.0,66.0,1.0,0.0,2.0
钥匙,20.0,64.0,172.0,18.0,26.0,18.0,11.0,4.0,79.0,14.0
身份,305.0,262.0,476.0,101.0,633.0,196.0,227.0,185.0,154.0,553.0
抢劫案,0.0,0.0,61.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0
废品,5.0,3.0,119.0,1.0,5.0,1.0,0.0,0.0,5.0,6.0
公安部门,29.0,18.0,92.0,2.0,7.0,3.0,35.0,17.0,0.0,2.0
三轮车,3.0,3.0,104.0,0.0,4.0,2.0,0.0,0.0,1.0,5.0
浑身,12.0,4.0,120.0,12.0,20.0,23.0,0.0,21.0,18.0,50.0
声音,88.0,145.0,317.0,19.0,140.0,348.0,66.0,95.0,167.0,301.0
官兵,2.0,9.0,152.0,0.0,3.0,2.0,80.0,0.0,9.0,4.0
饭店,2.0,16.0,186.0,7.0,67.0,10.0,56.0,4.0,17.0,22.0
辖区,15.0,26.0,95.0,0.0,2.0,4.0,41.0,0.0,0.0,0.0
小女孩,0.0,2.0,172.0,66.0,23.0,27.0,1.0,1.0,29.0,54.0
孙子,7.0,7.0,145.0,0.0,21.0,10.0,9.0,1.0,7.0,28.0
疾病,4.0,25.0,222.0,3.0,78.0,458.0,86.0,3.0,19.0,15.0
分局,2.0,11.0,80.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0
护栏,0.0,8.0,86.0,0.0,3.0,2.0,0.0,2.0,3.0,5.0
颈部,2.0,0.0,94.0,26.0,1.0,23.0,5.0,7.0,2.0,1.0
左手,9.0,16.0,139.0,9.0,13.0,25.0,7.0,47.0,16.0,23.0
证件,62.0,42.0,142.0,5.0,129.0,3.0,48.0,4.0,7.0,8.0
被子,0.0,5.0,83.0,0.0,9.0,1.0,1.0,0.0,4.0,7.0
耳光,8.0,3.0,103.0,0.0,3.0,2.0,2.0,9.0,6.0,28.0
电动车,0.0,5.0,107.0,0.0,5.0,84.0,0.0,0.0,0.0,1.0
汽车,193.0,301.0,356.0,27.0,352.0,709.0,179.0,53.0,55.0,71.0
琐事,2.0,1.0,69.0,0.0,13.0,3.0,2.0,1.0,2.0,4.0
巡警,0.0,0.0,61.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
重症,2.0,5.0,82.0,0.0,5.0,9.0,27.0,1.0,1.0,2.0
小车,0.0,5.0,99.0,1.0,9.0,8.0,2.0,0.0,3.0,3.0
侦查员,19.0,3.0,86.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
赎金,0.0,0.0,75.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0
少女,8.0,3.0,285.0,260.0,57.0,9.0,3.0,3.0,87.0,109.0
姓名,98.0,94.0,181.0,12.0,89.0,38.0,45.0,8.0,40.0,36.0
砍刀,0.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
刑事责任,14.0,16.0,91.0,0.0,1.0,3.0,46.0,0.0,0.0,1.0
警官,4.0,0.0,91.0,0.0,15.0,4.0,6.0,5.0,9.0,6.0
居民楼,1.0,52.0,80.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0
现年,11.0,5.0,103.0,6.0,67.0,77.0,8.0,5.0,1.0,8.0
观众,62.0,49.0,132.0,141.0,155.0,143.0,55.0,181.0,223.0,6627.0
窗台,0.0,4.0,65.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
人质,6.0,6.0,140.0,0.0,8.0,10.0,8.0,0.0,15.0,14.0
三楼,1.0,6.0,78.0,9.0,8.0,3.0,3.0,0.0,1.0,4.0
门卫,0.0,5.0,70.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
母子,3.0,3.0,114.0,8.0,15.0,30.0,12.0,0.0,3.0,41.0
男婴,0.0,0.0,105.0,1.0,5.0,17.0,5.0,0.0,0.0,3.0
左腿,0.0,2.0,82.0,2.0,2.0,5.0,2.0,34.0,0.0,1.0
栏杆,1.0,2.0,84.0,0.0,15.0,5.0,1.0,2.0,4.0,2.0
危险,5.0,10.0,110.0,6.0,13.0,49.0,9.0,8.0,16.0,19.0
手术室,0.0,1.0,73.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0
村支书,0.0,5.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
公厕,1.0,3.0,121.0,3.0,1.0,1.0,34.0,0.0,0.0,0.0
小学生,3.0,10.0,121.0,1.0,64.0,6.0,33.0,1.0,1.0,22.0
医务人员,0.0,1.0,90.0,0.0,2.0,0.0,43.0,1.0,0.0,1.0
钱包,22.0,12.0,134.0,32.0,17.0,7.0,0.0,4.0,17.0,9.0
外伤,0.0,0.0,64.0,0.0,0.0,15.0,7.0,1.0,1.0,0.0
念头,7.0,13.0,107.0,6.0,68.0,17.0,2.0,27.0,9.0,44.0
刹车,10.0,18.0,94.0,2.0,13.0,17.0,2.0,6.0,26.0,1.0
爷爷,8.0,17.0,128.0,4.0,11.0,8.0,6.0,4.0,24.0,29.0
绳子,1.0,1.0,88.0,4.0,4.0,35.0,2.0,4.0,1.0,8.0
女婿,2.0,8.0,91.0,0.0,5.0,2.0,11.0,1.0,3.0,7.0
钢管,0.0,1.0,86.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0
系统,635.0,874.0,197.0,32.0,782.0,1711.0,586.0,40.0,2564.0,89.0
遗体,2.0,3.0,103.0,0.0,9.0,96.0,30.0,0.0,10.0,20.0
匕首,1.0,0.0,91.0,8.0,1.0,8.0,0.0,5.0,34.0,2.0
赃物,7.0,1.0,55.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
命案,0.0,0.0,65.0,0.0,1.0,0.0,2.0,0.0,0.0,12.0
女朋友,4.0,12.0,127.0,15.0,45.0,5.0,0.0,12.0,25.0,83.0
路口,2.0,11.0,75.0,0.0,12.0,2.0,6.0,1.0,29.0,1.0
刑事,9.0,3.0,96.0,0.0,30.0,5.0,120.0,0.0,3.0,5.0
罪名,14.0,4.0,100.0,1.0,41.0,1.0,81.0,9.0,13.0,9.0
车窗,1.0,2.0,78.0,0.0,7.0,10.0,5.0,2.0,3.0,3.0
手枪,0.0,0.0,131.0,11.0,8.0,2.0,3.0,4.0,63.0,18.0
亲人,10.0,12.0,117.0,2.0,67.0,18.0,17.0,8.0,16.0,68.0
院子,6.0,87.0,128.0,1.0,36.0,17.0,6.0,0.0,6.0,8.0
上级,13.0,36.0,99.0,1.0,19.0,12.0,51.0,4.0,6.0,22.0
铁门,0.0,6.0,67.0,0.0,0.0,2.0,5.0,0.0,1.0,10.0
客人,43.0,73.0,226.0,30.0,187.0,40.0,21.0,5.0,10.0,24.0
小轿车,2.0,3.0,78.0,1.0,6.0,0.0,2.0,1.0,0.0,1.0
前夫,3.0,1.0,78.0,1.0,14.0,2.0,2.0,1.0,0.0,19.0
列车,11.0,3.0,146.0,2.0,17.0,28.0,58.0,1.0,10.0,8.0
塑料袋,9.0,5.0,85.0,8.0,17.0,21.0,4.0,0.0,0.0,3.0
公路,23.0,72.0,152.0,2.0,26.0,94.0,233.0,2.0,9.0,28.0
寝室,0.0,0.0,90.0,0.0,40.0,3.0,1.0,0.0,2.0,2.0
副局长,16.0,93.0,153.0,0.0,6.0,22.0,128.0,6.0,1.0,43.0
财产,128.0,178.0,226.0,3.0,146.0,20.0,194.0,6.0,21.0,11.0
治安,7.0,21.0,88.0,0.0,48.0,1.0,61.0,4.0,5.0,6.0
楼顶,0.0,29.0,128.0,0.0,6.0,7.0,1.0,2.0,5.0,10.0
状态,366.0,579.0,186.0,74.0,252.0,630.0,131.0,1928.0,469.0,584.0
眼泪,0.0,1.0,108.0,2.0,28.0,15.0,3.0,8.0,19.0,131.0
门诊,0.0,8.0,85.0,1.0,8.0,1.0,19.0,0.0,1.0,0.0
驾驶室,3.0,0.0,61.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
伤痕,0.0,2.0,62.0,0.0,6.0,1.0,5.0,0.0,4.0,7.0
工厂,22.0,99.0,233.0,29.0,106.0,100.0,36.0,1.0,43.0,80.0
手臂,2.0,0.0,135.0,93.0,15.0,90.0,7.0,41.0,38.0,28.0
二审,9.0,3.0,79.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0
孙女,0.0,2.0,94.0,2.0,9.0,3.0,6.0,0.0,3.0,17.0
裸照,1.0,0.0,76.0,1.0,0.0,0.0,0.0,6.0,3.0,6.0
